,evento,ano,qualis,categoria
203,I Concurso Integrado de Desenvolvimento de Soluções de Tecnologia e Objetos de Aprendizagem para a Educação,,-,conferencia
204,Encontro de Extensão Universitária da UFMS (ENEX2014),2015,-,conferencia
205,Encontro de Extensão Universitária da UFMS (ENEX2014),2014,-,conferencia
206,X Congresso Brasileiro de Agroinformática (SBIAGRO 2015),2015,-,conferencia
207,2016 XI Latin American Conference on Learning Objects and Technology (LACLO),2016,-,conferencia
208,Computer on the Beach 2015,2015,-,conferencia
209,Workshops do Congresso Brasileiro de Informática na Educação,2016,-,conferencia
210,XXII Workshop de Informática na Escola,2016,-,conferencia
211,XXIV Ciclo de Palestras sobre Novas Tecnologias na Educação - CINTED 2016,2016,-,conferencia
212,Mostra Nacional de Robótica - MNR,2016,-,conferencia
213,X Workshop de Tecnologia Adaptativa - WTA 2016,2016,-,conferencia
214,XI Workshop de Visão Computacional - WVC 2015,2015,-,conferencia
215,I Encontro Centro-Oeste dos Grupos PET - ECOPET 2014,2014,-,conferencia
216,Computer on the Beach,2019,-,conferencia
217,VIII Workshop de Desafios da Computação Aplicada à Educação - DesafIE,2019,-,conferencia
218,Computer on the Beach,2021,-,conferencia
219,Workshop sobre Educação em Computação,2021,-,conferencia
220,IGARSS 2019 2019 IEEE International Geoscience and Remote Sensing Symposium,2019,-,conferencia
221,ENIAC - Encontro Nacional de Inteligência Artificial e Computacional,2017,-,conferencia
222,Workshop de Tecnologia da Informação e Comunicação das Instituições Federais de Ensino Superior,2017,-,conferencia
223,IV Fórum de Educação em Engenharia de Software/ II Congresso Brasileiro de Software: Teoria e Prática (CBSoft),2011,-,conferencia
224,VII WAMPS - VII Workshop Anual do MPS,2011,-,conferencia
225,XXII SBIE - XXII Simpósio Brasileiro de Informática na Educação,2011,-,conferencia
226,XXIV CIUFLA - XXIV Congresso de Iniciação Científica da UFLA,2011,-,conferencia
227,XI Simpósio Brasileiro de Qualidade de Software,2012,-,conferencia
228,2012 IEEE 13th International Conference on Information Reuse &amp; Integration (IRI),,-,conferencia
229,25th International Conference on Software Engineering and Knowledge Engineering (SEKE),2013,-,conferencia
230,IV Congresso Brasileiro de Software: Teoria e Prática,2013,-,conferencia
231,2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),2016,-,conferencia
232,Workshop on Experimental Software Engineering - CIbSE,2015,-,conferencia
233,"V Workshop on Software Visualization, Evolution and Maintenance (VEM)",2017,-,conferencia
234,12th International Conference on Predictive Models and Data Analytics in Software Engineering,2016,-,conferencia
235,2013 20th Working Conference on Reverse Engineering (WCRE),2013,-,conferencia
236,15th International Conference on Computing,2006,-,conferencia
237,The Eleventh Annual International Computing and Combinatorics Conference (COCOON 2005),2005,-,conferencia
238,"IV Latin-American Algorithms, Graphs and Optimization Symposium",2007,-,conferencia
239,8th Workshop on Algorithms in Bioinformatics (WABI),2008,-,conferencia
240,14th Workshop on Algorithms in Bioinformatics (WABI 2014),2014,-,conferencia
241,9th Brazilian Symposium on Bioinformatics (BSB 2014),2014,-,conferencia
242,"16th Workshop on Algorithms in Bioinformatics (WABI),",2016,-,conferencia
243,Workshop on Algorithms in Bioinformatics,2020,-,conferencia
244,Concurso de Teses e Dissertações da SBC,,-,conferencia
245,32nd International Symposium on Algorithms and Computation (ISAAC 2021),2021,-,conferencia
246,15th RECOMB Comparative Genomics Satellite Conference,2017,-,conferencia
247,XII Encontro de Pesquisa em Ensino de Física,2010,-,conferencia
248,The Third International Society for Computational Biology Latin America X-Meeting on Bioinformatics with BSB and SoiBio (ISCB-Latin America),2014,-,conferencia
249,"8th International Conference on Bioinformatics Models, Methods and Algorithms",2017,-,conferencia
250,Simpósio Brasileiro de Banco de Dados,2002,-,conferencia
251,4a Jornada Científica da Embrapa Gado de Cort,2008,-,conferencia
252,VII Congresso Brasileiro de Agroinformática,2009,-,conferencia
253,XXXVI Conferência Latino-Americana de Informática,2010,-,conferencia
254,Simpósio Brasileiro de Qualidade de Software,,-,conferencia
255,the 24th Brazilian Symposium,2018,-,conferencia
256,Network and Distributed System Security Symposium,2019,-,conferencia
257,WWW &apos;20: The Web Conference 2020,2020,-,conferencia
258,WebMedia &apos;20: Brazillian Symposium on Multimedia and the Web,,-,conferencia
259,Brazilian Workshop on Social Network Analysis and Mining,2021,-,conferencia
260,VI Jornada Científica de Economia e Administração do Centro-Oeste,2008,-,conferencia
261,Congresso SIMAI,2000,-,conferencia
262,Europar'99,1999,-,conferencia
263,SPIE/IS&T Symposium on Electronic Imaging: Science and Technology,1998,-,conferencia
264,Action COST 230 Final Report,1998,-,conferencia
265,"International Conference on Computational Intelligence and Multimedia Applications, ICCIMA'97",1997,-,conferencia
266,"Techical Report, Università Tor Vergata",1997,-,conferencia
267,9as jornadas Científico Técnicas de Ingeniería,1995,-,conferencia
268,Proceedings of the thirteenth IASTED International Conference,1995,-,conferencia
269,"Scientific Report, IBM Scientific Center",1991,-,conferencia
270,"Research Workshop in Seismic Imaging and Parameter Estimation in Heterogeneous Media, Sociedade Brasileira de Geofísica - SBGF.",1990,-,conferencia
271,Instituto Colombiano del Petróleo,1991,-,conferencia
272,III Semana Técnica Internacional de Ingeniería de Petróleos,1991,-,conferencia
273,PDPTA'04 - The 2004 International Conference on Parallel and Distributed Processing Techniques and Applications,2004,-,conferencia
274,Research Workshop in Computer Science. UNAES,2004,-,conferencia
275,ANDESCON 2008,2008,-,conferencia
276,"VIII Conferência Internacional de Aplicações Industriais - INDUSCON,",2008,-,conferencia
277,"5 Congreso de Informática & Sistema de Sudamérica, 2006",2006,-,conferencia
278,5 Congreso de Informática & Sistema de Sudamérica,2006,-,conferencia
279,39th International Symposium on Multiple-Valued Logic,2009,-,conferencia
280,III Congresso Tecnológico InfoBrasil,2009,-,conferencia
281,"XVI Congreso Internacional de Ingeniería Eléctrica, Electrónica y Sistemas",2009,-,conferencia
282,IEEE-Peru intercon2010,2010,-,conferencia
283,Lascas 2011,2011,-,conferencia
284,"International Conference on Industry Applications (INDUSCON), 2012",2012,-,conferencia
285,lascas2019,2019,-,conferencia
286,WorldCist'19,2019,-,conferencia
287,Proceedings of the 2nd. IEEE Workshop on Fault-Tolerant Parallel and Distributed Systems.,1997,-,conferencia
288,PDPTA,2001,-,conferencia
289,WPOC,1998,-,conferencia
290,SBAC-PAD,2003,-,conferencia
291,"V Latin American Algorithms, Graphs, and Optimization Symposium",2007,-,conferencia
292,HPC´12 High Performance Computing Sysposium,2012,-,conferencia
293,2013 IEEE 13th International Conference on Bioinformatics and Bioengineering (BIBE),2013,-,conferencia
294,2015 IEEE 15th International Conference on Bioinformatics and Bioengineering (BIBE),2015,-,conferencia
295,2017 IEEE 17th International Conference on Bioinformatics and Bioengineering (BIBE),2017,-,conferencia
296,"2018 26th Euromicro International Conference on Parallel, Distributed and Networkbased Processing (PDP)",2018,-,conferencia
297,2018 International Conference on Computer Science and its Applications - ICCSA 2018,2018,-,conferencia
298,2019 IEEE 19th International Conference on Bioinformatics and Bioengineering (BIBE),2019,-,conferencia
299,2021 International Conference on Computational Science and Its Applications,2021,-,conferencia
300,International Conference on Parallel and Distributed Processing Techniques and Applications (PDPTA),2015,-,conferencia
301,2015 IEEE 15th International Conference on Bioinformatics and Bioengineering (BIBE),,-,conferencia
302,16th Workshop on Algorithms in Bioinformatics (WABI 2016),2016,-,conferencia
303,15th RECOMB Comparative Genomics Satellite Conference (RECOMB-CG 2017),2017,-,conferencia
304,20th International Workshop on Algorithms in Bioinformatics (WABI 2020),2020,-,conferencia
305,Concurso de Teses e Dissertações da SBC,2020,-,conferencia
306,Proc. 2004 International Conference on Parallel and Distributed Processing Techniques and Applications,2004,-,conferencia
307,VI Workshop em Sistemas Computacionais de Alto Desempenho (WSCAD),2005,-,conferencia
308,V Congresso Brasileiro de Agroinformática,2005,-,conferencia
309,WCCA 2006 - World Congress on Computers in Agriculture,2006,-,conferencia
310,"SIMCRA 2006 - Simpósio de Construções Rurais e Ambientes Protegidos, 2006",2006,-,conferencia
311,III Comgresso de Computação do Sul de Mato Grosso,2007,-,conferencia
312,IEEE Sensors Applications Sympsium,2008,-,conferencia
313,Congresso Brasileiro de Automática (CBA),2008,-,conferencia
314,Wokshop de Tecnologia Adaptatia,2009,-,conferencia
315,XI Encontro de Iniciação Científic da UCDB,2006,-,conferencia
316,7º Simpósio Brasileiro de Agroinformática,2009,-,conferencia
317,XI Encontro de Iniciação Científica da UCDB,2007,-,conferencia
318,XIII Encontro de Iniciação Científica da UCDB,2009,-,conferencia
319,Workshop de Tecnologia Adaptatiava (2010),2010,-,conferencia
320,Sensors Applications Symposium,2010,-,conferencia
321,XIII Encontro de Iniciação Científica,2009,-,conferencia
322,1o. Simpo&#769;sio Brasileiro de Pecua&#769;ria de Precisa&#771;o Aplicada a&#768; Bovinocultura de Corte,2014,-,conferencia
323,1o. Simpósio Brasileiro de Pecuária de Precisão Aplicada à Bovinocultura de Corte,2014,-,conferencia
324,X Congresso Brasileiro de Agroinfomática,2015,-,conferencia
325,XII Encontro de Iniciação Científic da UCDB,2008,-,conferencia
326,VII Encontro de Iniciação Científica,1999,-,conferencia
327,VI Encontro de Iniciação Científica,1998,-,conferencia
328,"14th Annual International Computing and Combinatorics Conference, COCOON 2008",2008,-,conferencia
329,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,2009,-,conferencia
330,"LAGOS'11 ? VI Latin-American Algorithms, Graphs and Optimization Symposium",2011,-,conferencia
331,"LAGOS'09 ? V Latin-American Algorithms, Graphs and Optimization Symposium",,-,conferencia
332,XLIII Simpósio Brasileiro de Pesquisa Operacional (SBPO),2011,-,conferencia
333,Simpósio Brasileiro de Pesquisa Operacional,2012,-,conferencia
334,Alice Brasil,2012,-,conferencia
335,ALIO/EURO - Workshop on Applied Combinatorial Optimization,2014,-,conferencia
336,XLVII Simpósio Brasileiro de Pesquisa Operacional,2015,-,conferencia
337,Congresso Nacional de Matemática Aplicada e Computacional,2018,-,conferencia
