,Unnamed: 0,evento,ano,qualis,match_sigla,conferencia_score,fuzz_token_sort_ratio
76,76,XX Colóquio de Incentivo a Pesquisa,1993.0,-,iv,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,60
77,77,XIX Colóquio de Incentivo a Pesquisa,1992.0,-,iv,simposio internacional de educacao a distancia e encontro de pesquisadores em educacao a distancia,58
78,78,ICECE2000 - International Conference on Engineering and Computer Education,2000.0,-,icec,international conference on web engineering,91
79,79,WISE'99- Workshop Internacional Sobre Educação Virtual,1999.0,-,wise,workshop iberchip,76
80,80,SUCESU 2004 - CONGRESSO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,2004.0,-,re,congresso internacional de design da informacao,81
81,81,"WWW/Internet 2007, IADIS International Conference WWW/Internet",2003.0,-,www,international conference on www/internet,96
82,82,3o Congresso Nacional de Iniciação Científica,2003.0,-,re,encontro nacional de inteligencia artificial e computacional,69
83,83,Conferência IADIS IBERO-AMERICANA WWW/Internet 2004,2004.0,-,er,conferencia latinoamericana de informatica,67
84,84,"WWW/Internet 2004, IADIS International Conference WWW/Internet",2004.0,-,www,international conference on www/internet,96
85,85,Conferência IADIS Ibero-Americana WWW/Internet 2004,2004.0,-,er,conferencia latinoamericana de informatica,67
86,86,IV Evento Interno de Iniciação Científica da UFMS,2004.0,-,iv,seminario de computacao e mercado,55
87,87,IV Encontro Interno de Iniciação Científica da UFMS,2004.0,-,iv,encontro nacional de inteligencia artificial e computacional,61
88,88,Congresso Ibero-americano de Extensão Universitária / Congreso Iberoamericano de Extensión Universitaria,2005.0,-,re,congresso brasileiro de sistemas fuzzy,63
89,89,XI Simpósio Brasileiro de Sistemas Multimídia e Web,2005.0,-,im,simposio brasileiro de sistemas eletricos,85
90,90,WebMedia - Brazilian Symposium on Multimedia and the Web,2005.0,-,webmedia,brazilian symposium on multimedia and the web,100
91,91,XXXII Conferencia Lationoamericana de Informática,2006.0,-,er,conferencia latinoamericana de informatica,98
92,92,International Conference On Engineering And Computer Education,2007.0,-,er,international conference on web engineering,91
93,93,I Conferência Internacional & II Seminário Regional de Educação Profissional e Tecnológica,2007.0,-,er,interaction latin america,64
94,94,"WWW/Internet 2006, IADIS International Conference WWW/Internet",2006.0,-,www,international conference on www/internet,96
95,95,"WWW/Internet 2007, IADIS International Conference WWW/Internet",2007.0,-,www,international conference on www/internet,96
96,96,SEMISH - XXXIII Seminário Integrado de Software e Hardware,2006.0,-,sem,seminario integrado de software e hardware,100
97,97,VIII Congresso Ibero-americano de Extensão Universitária,2005.0,-,re,congresso brasileiro de sistemas fuzzy,63
98,98,3o Congresso Brasileiro de Extensão Universitária,2006.0,-,re,congresso brasileiro de automatica,76
99,99,WTD - Workshop de Teses e Dissertações do Webmedia?2005 - Simpósio Brasileiro de Sistemas Multimídia e Web,2005.0,-,works,simposio brasileiro de sistemas eletricos,85
100,100,"6th ACIS International Conference on Software Engineering Research, Management and Applications",2008.0,-,er,international conference on software engineering,100
101,101,Proceedings of the 26th annual ACM international conference on Design of communication,2008.0,-,er,acm international conference on design of communication,100
102,102,Annual Joint Conference Integrating Technology into Computer Science Education,2007.0,-,er,conference on innovation and technology in computer science education,87
103,103,XXXVII Seminário Integrado de Software e Hardware - XXX Congresso da Sociedade Brasileira de Computação,2010.0,-,sem,seminario integrado de software e hardware,100
104,104,CLEI 2006 - XXXII Conferencia Lationoamericana de Informática,2006.0,-,cl,conferencia latinoamericana de informatica,98
105,105,XXXVI Conferência Latino-americana de Informática (XXXVI CLEI),2010.0,-,er,conferencia latinoamericana de informatica,98
106,106,WebMedia - Brazilian Symposium on Multimedia and the Web,2010.0,-,webmedia,brazilian symposium on multimedia and the web,100
107,107,WebMedia - Brazilian Symposium on Multimedia and the Web,2006.0,-,webmedia,brazilian symposium on multimedia and the web,100
108,108,7o Congresso Brasileiro de Agroinformática,2009.0,-,re,congresso brasileiro de agroinformatica,100
109,109,Simpósio Brasileiro de Sistemas de Informação,2011.0,-,im,simposio brasileiro de sistemas de informacao,100
110,110,Simpósio Brasileiro de Sistemas de Informação,2015.0,-,im,simposio brasileiro de sistemas de informacao,100
111,111,Simpósio Brasileiro de Qualidade de Software,2014.0,-,im,simposio brasileiro de qualidade de software,100
112,112,9th Latin American Web Congress (LAWEB),2014.0,-,latin,latin american web congress,100
113,113,X Workshop de Manutenção de Software Moderna (WMSWM 2013) em conjunto com o XII Simpósio Brasileiro de Qualidade de Software (SBQS 2013),2013.0,-,works,simposio brasileiro de qualidade de software,100
114,114,XXV Simpósio Brasileiro de Engenharia de Software,2011.0,-,im,simposio brasileiro de qualidade de software,84
115,115,V Simpósio Brasileiro de Sistemas de Informação,2009.0,-,im,simposio brasileiro de sistemas de informacao,100
116,116,Second Workshop of the Brazilian Institute for Web Science Research,2011.0,-,sec,workshop on hybrid reasoning,68
117,117,17th IEEE International Conference and Workshops on Engineering of Computer-Based Systems,2010.0,-,er,ieee international conference on rfid,89
118,118,International Conference on Parallel and Distributed Processing Techniques and Applications,2000.0,-,er,international conference on parallel and distributed processing techniques and applications,100
119,119,Workshop em Paralelismo e Otimização Combinatória,1998.0,-,works,workshop iberchip,65
120,120,Reunião Especial da SBPC,1995.0,-,re,workshop de pesquisa experimental da internet do futuro,62
121,121,Reunião Especial de SBPC,1995.0,-,re,workshop de gerencia e operacao de redes e servicos,62
122,122,XXV Simpósio Brasileiro de Pesquisa Operacional,1993.0,-,im,simposio brasileiro de pesquisa operacional,100
123,123,International Conference on Parallel and Distributed Processing Techniques and Applications,2001.0,-,er,international conference on parallel and distributed processing techniques and applications,100
124,124,Simpósio Brasileiro de Arquitetura de Computadores - Processamento de Alto Desempenho,1992.0,-,im,simposio brasileiro de robotica,81
125,125,Simpósio Brasileiro de Arquitetura de Computadores - Processamento de Alto Desempenho,1993.0,-,im,simposio brasileiro de robotica,81
126,126,Conferência Latino Amaricana de Informática,1993.0,-,er,conferencia latinoamericana de informatica,95
127,127,XII Congresso da Sociedade Brasileira de Computação - SEMISH,1992.0,-,re,simposio brasileiro de computacao musical,71
128,128,Latin American Workshop on Cliques of Graphs,2002.0,-,latin,latin american workshop on cliques in graphs,95
129,129,ACM Symposium on Parallel Algorithms and Architectures - SPAA'02,2002.0,-,or,acm symposium on parallelism in algorithms and architectures,90
130,130,14th IASTED International Conference on Parallel and Distributed Computing and Systems,2002.0,-,ias,international conference on parallel and distributed systems,90
131,131,I Brazillian Workshop on Bioinformatics,2002.0,-,works,brazilian symposium on bioinformatics,81
132,132,International Parallel & Distributed Processing Symposium - IPDPS 2003,2003.0,-,er,ieee international parallel & distributed processing symposium,92
133,133,The 15th Symposium on Computer Architecture and High Performance Computing - SBAC-PAD 2003,2003.0,-,om,international symposium on computer architecture and high performance computing,87
134,134,Second Brazillian Workshop on Bioinformatics - WOB 2003,2003.0,-,sec,brazilian symposium on bioinformatics,81
135,135,EuroPar,2004.0,-,euro,east european conference on advances in databases and information systems,86
136,136,The 16th Symposium on Computer Architecture and High Performance Computing - SBAC-PAD 2004,2004.0,-,om,international symposium on computer architecture and high performance computing,87
137,137,"2nd Brazilian Symposium on Graphs, Algorithms and Combinatorics - GRACO 2005",2005.0,-,or,european symposium on algorithms,75
138,138,II Workshop on Computacional Grids and Applications - WCGA 2005,2005.0,-,works,workshop of urban computing,78
139,139,The 2001 International Conference on Computacional Sciece,2001.0,-,er,international conference on computational science,97
140,140,The 2003 International Conference on Computacional Sciece and Its Applications (ICCSA 2003),2003.0,-,er,international conference on computational science and its applications,97
141,141,10th EuroPVM/MPI 2003,2003.0,-,euro,eurohaptics,55
142,142,11th EuroPVM/MPI 2004,2004.0,-,euro,eurohaptics,55
143,143,Simpósio Brasileiro de Jogos para Computador e Entretenimento Digital (SBGames 2005 - WJogos 2005),2005.0,-,im,simposio brasileiro de robotica,84
144,144,Euro-Par 2006,2006.0,-,euro,east european conference on advances in databases and information systems,54
145,145,"International Conference on Parallel and Distributed Computing and Systems (PDCS 2005),",2005.0,-,er,international conference on parallel and distributed systems,90
146,146,Workshop em Sistemas Computacionais de Alto Desempenho - WSCAD 2006,2006.0,-,works,simposio em sistemas computacionais de alto desempenho,91
147,147,Seventh IEEE International Symposium on Cluster Computing and the Grid - CCGrid 2007,2007.0,-,er,international symposium on visual computing,86
148,148,"Proc. of the High Performance Computing and Simulation Conference (HPCS 2007),",2007.0,-,er,social simulation conference,82
149,149,"International Colloquium on Automata, Languages and Programming - ICALP 97",1997.0,-,er,"international colloquium on automata, languages, and programming",98
150,150,26th Workshop on Graph Theoretic Concepts in Computer Science,2000.0,-,works,international workshop on graph-theoretic concepts in computer science,92
151,151,2nd. International Latin American Grid Workshop LAGrid 2008,2008.0,-,er,interaction latin america,88
152,152,"10th International Conference on High Performance Computing, Grid and e-Science in Asia Pacific Region",2009.0,-,er,ieee international conference on high performance computing,93
153,153,International Conference on High Performance Computing and Simulation - HPCS 2010,2010.0,-,er,international conference on high performance computing & simulation,96
154,154,Latin American Conference on High Performance Computing (CLCAR 2010),2010.0,-,latin,ieee international conference on high performance computing,80
155,155,Brazilian Symposium on Bioinformatics,2012.0,-,or,brazilian symposium on bioinformatics,100
156,156,The 41st International Conference on Parallel Processing Workshops,2012.0,-,er,parallel processing workshops,100
