,Column1,evento,ano,qualis,categoria,match_sigla,evento_match_ratio,evento_match_partial,evento_match_sort,evento_match_set,fuzz_ratio,fuzz_partial_ratio,fuzz_sort_ratio,fuzz_set_ratio,qualis_ratio,qualis_partial,qualis_sort,qualis_set,algoritmo_match_final,nome_evento_final,qualis_final
612,117,Simpósio Brasileiro de Jogos para Computador e Entretenimento Digital (SBGames 2005 - WJogos 2005),20050.0,-,conferencia,sbgames,simposio brasileiro de jogos e entretenimento digital,simposio brasileiro de robotica,simposio brasileiro de jogos e entretenimento digital,simposio brasileiro de jogos e entretenimento digital,70.0,84.0,72.0,100.0,,B1,,B1,ratio sort set,simposio brasileiro de jogos e entretenimento digital,B1
613,143,2014 XL Latin American Computing Conference (CLEI),20140.0,-,conferencia,latin,latin american networking conference,latin american networking conference,latin american high performance computing conference,latin american high performance computing conference,70.0,83.0,72.0,84.0,,B4,,nulo,nulo,nao_tem,-
614,160,SIMPÓSIO BRASILEIRO DE PECUÁRIA DE PRECISÃO APLICADA À BOVINOCUTURA DE CORTE,20140.0,-,conferencia,-,simposio brasileiro de computacao aplicada a saude,simposio brasileiro de robotica,simposio brasileiro de computacao aplicada a saude,simposio brasileiro de robotica,70.0,84.0,65.0,83.0,,B1,,B1,nulo,nao_tem,-
615,377,9th International Conference of the Brazilian Association for Bioinformatics and Computational Biology (X-meeting 2013),20130.0,-,conferencia,-,international conference on bioinformatics & computational biology,international cad conference,international conference on computational systems-biology and bioinformatics,international conference on bioinformatics & computational biology,70.0,86.0,73.0,98.0,,B2,,B3,ratio set,international conference on bioinformatics & computational biology,B3
616,414,VII Escola de Informática Norte,20050.0,-,conferencia,-,workshop-escola de informatica teorica,workshop-escola de informatica teorica,workshop de informatica na escola,workshop-escola de informatica teorica,70.0,77.0,78.0,81.0,,,,B4,nulo,nao_tem,-
617,429,International Teletraffic Congress 17,20010.0,-,conferencia,-,international test conference,international test conference,international test conference,ieee international congress on bigdata,70.0,72.0,70.0,75.0,,,,,nulo,nao_tem,-
618,527,Brazilian Symposium on Software Quality (SBQS 2018),20180.0,-,conferencia,sbqs,brazilian symposium on software engineering,brazilian symposium on software engineering,brazilian symposium on software engineering,brazilian symposium on software engineering,70.0,77.0,70.0,84.0,,,,A3,nulo,nao_tem,-
619,718,2014 XL Latin American Computing Conference (CLEI),,-,conferencia,latin,latin american networking conference,latin american networking conference,latin american high performance computing conference,latin american high performance computing conference,70.0,83.0,72.0,84.0,,B4,,nulo,nulo,nao_tem,-
620,771,"19th International Symposium on High Performance Computing Systems and Applications, 2005. HPCS 2005",20050.0,-,conferencia,hpcs,ieee international symposium on network computing and applications,international symposium compimage,ieee international symposium on network computing and applications,international symposium on visual computing,70.0,82.0,71.0,91.0,,B3,,A3,nulo,nao_tem,-
621,791,III Workshop on Grid Computing and Applications,20050.0,-,conferencia,-,ieee conference on service-oriented computing and applications,workshop of urban computing,ieee international symposium on network computing and applications,workshop of urban computing,70.0,81.0,71.0,80.0,,B1,,B1,nulo,nao_tem,-
