;id_lattes;nome;sexo;idade_academica;quantidade_producoes;producoes_por_idade;nota_qualis;precisao_nota_qualis;softwares_participacao;orientacoes;orientacoes_por_idade;instituicao_trabalho;estado_instituicao_trabalho;graduacao;ano_graduacao;posdoc;ano_posdoc;mestrado;ano_mestrado;doutorado;ano_doutorado;ATIVIDADES_DE_DIRECAO_E_ADMINISTRACAO;ATIVIDADES_DE_PESQUISA_E_DESENVOLVIMENTO;ATIVIDADES_DE_ENSINO;ATIVIDADES_DE_EXTENSAO_UNIVERSITARIA;ATIVIDADES_DE_PARTICIPACAO_EM_PROJETO;grande_area_conhecimento;area_conhecimento;subarea_conhecimento
48;4590897656445233;Thelma Cecilia dos Santos Chiossi;F;46;7;0.15217391304347827;1.25;0.2857142857142857;0;5;0.10869565217391304;Universidade Estadual de Campinas;SP;;1976;;;Ciências da Computação;1980;;;2;0;1;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
49;4643608666899616;Claudia Maria Bauzer Medeiros;F;46;160;3.4782608695652173;42.175;0.60625;0;13;0.2826086956521739;Universidade Estadual de Campinas;SP;Engenharia Elétrica;1976;;1990;Informática;1979;Computer Science;1985;0;0;0;1;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
50;4729615604294036;Marco Aurelio Stefanes;M;30;13;0.43333333333333335;6.175;0.7692307692307692;0;7;0.23333333333333334;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;1992;;;Matemática Aplicada;1998;Ciências da Computação;2003;0;0;1;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
51;4732229402586329;Hudson Silva Borges;M;10;13;1.3;4.7;0.6153846153846154;0;2;0.2;Universidade Federal de Mato Grosso do Sul;MS;Sistemas de Informação;2012;;;Ciências da Computação;2014;Ciências da Computação;2018;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
52;4887951408965561;Irineu Sotoma;M;28;12;0.42857142857142855;2.05;0.33333333333333337;0;7;0.25;Universidade Federal de Mato Grosso do Sul;MS;Bacharelado em Ciência da Computação;1994;;;Computação;1997;Ciência da Computação;2006;9;1;34;1;8;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Sistemas de Computação
53;4956083758788367;Eduardo Candido Xavier;M;21;29;1.380952380952381;10.299999999999999;0.7931034482758621;5;6;0.2857142857142857;Universidade Estadual de Campinas;SP;Bacharelado em Informática;2001;;2010;Ciência da Computação;2003;Ciência da Computação;2006;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
54;4986772455989962;Fábio Henrique Viduani Martinez;M;31;11;0.3548387096774194;5.6;0.8181818181818181;0;13;0.41935483870967744;Universidade Federal de Mato Grosso do Sul;MS;Bacharelado Em Ciência da Computação;1991;;2014;Matemática Aplicada;1996;Ciências da Computação;2004;2;1;40;2;11;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Teoria da Computação
55;5121623021406209;André Santanchè;M;34;69;2.0294117647058822;22.475;0.6666666666666667;6;7;0.20588235294117646;Universidade Estadual de Campinas;SP;Tecnólogo Em Processamento de Dados;1988;;;Redes de Computadores;2002;Ciência da Computação;2006;0;0;21;0;7;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Metodologia e Técnicas da Computação
56;5538148900331053;Samuel Benjoino Ferraz Aquino;M;14;4;0.2857142857142857;1.55;1.0;5;4;0.2857142857142857;Universidade Federal de Mato Grosso do Sul;MS;Ciência da Computação;2008;;;Ciência da Computação;2012;Programa de Pós-Graduação em Ciência da Computação - UFMG;;0;0;0;0;0;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;
57;5569130658313238;Paulo Aristarco Pagliosa;M;35;31;0.8857142857142857;5.824999999999999;0.3548387096774194;2;9;0.2571428571428571;Universidade Federal de Mato Grosso do Sul;MS;Engenharia Civil;1987;;2012;;;Engenharia Civil (Engenharia de Estruturas);1998;3;4;49;0;6;CIENCIAS_EXATAS_E_DA_TERRA;Ciência da Computação;Visualização
