,producoes
870," fontao, awdren; fernandes, p.; santos, a. a. s.; bonifacio, b..   participacao em banca de patricia nunes damasceno.guia icet: um  aplicativo informativo para o instituto de ciencias exatas e tecnologia  do icet/ufam. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
871," fontao, awdren; bonifacio, b.;  fernandes, p..  participacao em banca de katlhen santos  maciel.avaliacao de acessibilidade e usabilidade em plataformas moveis  utilizadas por pessoas de baixo letramento. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
872," bonifacio, b.; fontao, awdren;  xavier, c..  participacao em banca de everson nunes medeiros.istema  gerenciador de atividades complementares para o instituto de ciencias  exatas e tecnologia - icet/ufam. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
873," fernandes, p.; bonifacio, b.; fontao, awdren;  cavalcante, a..  participacao em banca de valber cunha tavares.sistema  de lotacao de servidores da secretaria municipal de educacao de  itacoatiara. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
874," fernandes, p.; fontao, awdren;  xavier, c..  participacao em banca de fabiana rocha da silva.influencia  do tipo de personalidade do professor e aluno no processo de ensino da  computacao. 							2016. trabalho de conclusao de curso (graduacao em sistema de  informacao)  - universidade federal do amazonas.  "
875," fernandes, p.; fontao, awdren; bonifacio, b..  participacao em banca de giderlane moraes de souza.utilizando um jogo de ensino para auxiliar no aprendizado de programacao. 							2016. trabalho de conclusao de curso (graduacao em sistema de informacao)  - universidade federal do amazonas.  "
876," yugoshi, i. p. m.; paiva, d. m. b.; fontao, awdren.  concurso publico para ingresso na carreira do magisterio superior da  universidade federal de mato grosso do sul, objeto do edital ufms/progep  no 145, de 14 de setembro de 2019. 							2020. universidade federal de mato grosso do sul.  "
877, i semana de informatica do instituto de  ciencias exatas e tecnologia da ufam.ecossistemas para plataformas movel  - ecos app: oportunidades!. 							2014. (encontro).  					 
878, i semana de informatica do instituto de  ciencias exatas e tecnologia da ufam.fortalecendo a parceria entre a  universidade e o mercado de trabalho. 							2014. (encontro).  					 
879, semana de informatica.desenvolvimento de apps para windows phone - c#. 							2013. (encontro).  					 
880, the developers conference - tdc. the bug is on the table. 2013. (congresso).  
881, the developers conference - tdc. atalho para o sucesso: promovendo a sua app. 2013. (congresso).  
882, encosis - primeiro encontro regional de  computacao e sistemas de informacao.oportunidade de desenvolvimento para  mobile phone - series 40. 							2012. (encontro).  					 
883, minicurso: j2me - globalcode.desenvolvimento de jogos com java para nokia s40 e ferramentas de monetizacao. 2012. (oficina).  					 
884, seminario de desenvolvimento de  aplicacoes moveis - icomp (ufam) e nokia.oportunidas de desenvolvimento  para mobile phones - nokia series 40. 							2012. (encontro).  					 
885, the developers conference - tdc. desenvolvendo apps e gerando renda ainda na universidade com j2me. 2012. (congresso).  
886, the developers conference - tdc. nokia s40 full touch e o j2me. 2012. (congresso).  
887, java day.novas ferramentas p/ j2me: apis de mapa e touch & type. 							2011. (encontro).  					 
888, the developers conference - tdc. oportunidades para desenvolvimento web em plataformas nokia. 2011. (congresso).  
889, the developers conference - tdc. javame no mundo real: novas ferramentas para nokia s40. 2011. (congresso).  
890, the developers conference - tdc.javame no mundo real: novas ferramentas java para serie 40 da nokia. 							2011. (encontro).  					 
891, iv encontro de software livre do amazonas. 							2007. (encontro).  					 
892," fontao, awdren;  horita, f. . coordenacao do comite de programa - 6o washes workshop  sobre aspectos sociais, humanos e economicos de software. 2021.  (congresso).  "
893," fontao, awdren. proceedings chair - sbsi 2021 - simposio brasileiro de sistemas de informacao. 2021. (congresso).  "
894," fontao, awdren. proceedings chair - sbqs 2021 - simposio brasileiro de qualidade de software. 2021. (congresso).  "
895," steinmacher, i. ; fontao, awdren . 5o washes ? workshop sobre aspectos sociais, humanos e economicos de software. 2020. (outro).  "
896," steinmacher, i. ; fontao, awdren .  coordenacao do comite de programa - 5o washes - workshop sobre aspectos  sociais, humanos e economicos de software. 2020. (congresso).  "
897," rocha, g. ; fontao, awdren . sidia test day 2019. 2019. (outro).  "
898," maldonado, j. c. ; dias-neto, arilo ; farias junior, i. h. ; werner, c. ; nakagawa, e. y. ; oquendo, f. ; costa, h. ; santos, rodrigo ; marczak, s. ; fontao, awdren de lima  ; goncalves, m. b. ; leitao junior, n. ; lima, t. ; volpato, t. . x  workshop em desenvolvimento distribuido de software, ecossistemas de  software e sistemas-de-sistemas. 2016. (outro).  "
899, ana elisa da silva cunha. um modelo baseado em habilidades para formacao de profissionais de developer relations. 						inicio: 2021. 						dissertacao (mestrado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
900, rafael pinheiro de andrade. a definir. 						inicio: 2021. 						dissertacao (mestrado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
901, paulo jose dos reis pereira. uma taxonomia de modelos ecologicos para experimentacao em ecossistemas de software. 						inicio: 2021. 						dissertacao (mestrado em ciencia da computacao)  - universidade federal de mato grosso do sul. (orientador).  
902, luiz alexandre martins da costa. uma abordagem para gestao de incidentes em ecossistemas de software proprietario. 						inicio: 2019. 						dissertacao (mestrado em informatica)  - universidade federal do estado do rio de janeiro. (coorientador).  
903, rafael araujo de lima. apoiando  profissionais de devrel em selecao de estrategias. 						inicio: 2021. trabalho de conclusao de curso (graduacao em  sistemas de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
904, mateus ragazzi balbino. classificacao de  severidade de bugs para apoiar testadores novatos. 						inicio: 2021. trabalho de conclusao de curso (graduacao em sistema  de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
905, victor koji oshiro shinohara.  investigando sentimentos em threads de discussao no gitter sobre  projetos open-source. 						inicio: 2021. trabalho de conclusao de curso (graduacao em sistema  de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
906, lucas avanzi. go devrel: a tool to  support devrel practitioners and researchers. 						inicio: 2020. trabalho de conclusao de curso (graduacao em  sistemas de informacao)  - universidade federal de mato grosso do sul.  (orientador).  
907," fernando kendy yahiro. o estilo, as boas  praticas e os bugs de projetos open-source sobre aprendizagem de  maquina. 						inicio: 2020. trabalho de conclusao de curso (graduacao em  sistemas de informacao)  - universidade federal de mato grosso do sul.  (orientador).  "
908, felipe soupinski. a developer relations  (devrel) perspective of software ecosystems' death. inicio: 2020.  iniciacao cientifica (graduando em engenharia de software)  -  universidade federal de mato grosso do sul. (orientador).  
909, igor braga galvan. on applying ecological  modeling in software ecosystem research. inicio: 2020. iniciacao  cientifica (graduando em engenharia de software)  - universidade federal  de mato grosso do sul. (orientador).  
910," oswald mesumbe ekwoge. tester experience:  uma abordagem para melhorar a experiencia do testador em projetos de  software. 							2018. 						 					dissertacao  (mestrado em informatica)  - universidade federal do  amazonas, fundacao de amparo a pesquisa do estado do amazonas.  coorientador: awdren de lima fontao.  "
911, flavio augusto muller shinzato. 							uma estrategia para apoiar o onboarding de testadores novatos. 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
912, willian braga. 							code samples as enablers for developer relations in software  ecosystems. 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
913, daniel massanori. 							on investigating the death of software ecosystems - windows phone  scenario. 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
914, raphael arruda de oliveira. 							explorando os papeis de times de devrel (developer relations). 							2020. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
915, adauto ferreira de souza neto. 							estilo arquitetural de desenvolvimento de aplicacoes com  componentes de interface adaptivos. 							2020. 							trabalho de conclusao de curso. (graduacao em engenharia de  computacao)  - universidade federal de mato grosso do sul. orientador:  awdren de lima fontao. 						 
916, marcos hiroshi saito bezerra. 							um estudo sobre as barreiras enfrentadas por testadores novatos  de apps. 							2018. 							trabalho de conclusao de curso. (graduacao em engenharia de  software)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
917, kleyfferson lima silva. 							um estudo sobre a adocao do scrum por equipes de projetos de  larga escala. 							2018. 							trabalho de conclusao de curso. (graduacao em engenharia de  software)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
918, gabriel gama. 							uma ferramenta para apoiar o uso do scrum com equipes remotas. 							2018. 							trabalho de conclusao de curso. (graduacao em engenharia de  software)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
919, fabricio jose da silva lima. 							entendendo mseco a partir de analise de dados tecnicos do stack  overflow. 							2017. 							trabalho de conclusao de curso. (graduacao em sistema de  informacao)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
920, schweitzer wostewoysers campelo. 							analisando a relacao entre relatos de falhas e ratings em  comentarios de aplicacoes moveis na loja google play. 							2016. 							trabalho de conclusao de curso. (graduacao em sistema de  informacao)  - universidade federal do amazonas. orientador: awdren de  lima fontao. 						 
921, jose carlos rangel nascimento. 							testes de software em um instituto de p&d. 							2018. 							orientacao de outra natureza. (sistema de informacao)  -  universidade federal do amazonas. orientador: awdren de lima fontao. 						 
922, caio biase grana. 							realizando um estudo do metodo ux curve aplicado a experiencia do  desenvolvedor. 							2015. 							orientacao de outra natureza. (engenharia de software)  -  universidade federal do amazonas. orientador: awdren de lima fontao. 						 
923, ludymila lobo aguiar gomes. 							identificando nichos em ecossistemas de aplicativos moveis. 							2015. 							orientacao de outra natureza. (ciencia da computacao)  -  universidade federal do amazonas. orientador: awdren de lima fontao. 						 
924," fontao, a. l.; bonifacio, b.  ; nicolay, a. . apps framework: um processo centrado no usuario  aplicado para o desenvolvimento de aplicativos moveis - um estudo de  caso. 2012. (apresentacao de trabalho/congresso).  "
925," fontao, a. l.. introducao ao desenvolvimento com windows phone. 2012. (curso de curta duracao ministrado/outra).  "
926," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
927," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
928," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
929," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
930," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
931," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
932," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
933," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
934," fontao, a. l.. desenvolvimento de apps com java - j2me. 2012. (curso de curta duracao ministrado/outra).  "
935," fontao, a. l.. desenvolvimento de webapps. 2012. (curso de curta duracao ministrado/outra).  "
936," fontao, a. l.;  bezerra, a. ; boer, m. b. r. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para nokia asha - java.  2013. (curso de curta duracao ministrado/outra).  "
937," fontao, a. l.;  bezerra, a. ; gatti, d. . atividades experimentais de ensino em curso  de graduacao - desenvolvimento de apps para nokia asha - java. 2013.  (curso de curta duracao ministrado/outra).  "
938," fontao, a. l.;  bezerra, a. ; boer, m. b. r. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para windows phone - c#.  2013. (curso de curta duracao ministrado/outra).  "
939," fontao, a. l.;  bezerra, a. ; segato, t. h. f. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para windows phone - c#.  2013. (curso de curta duracao ministrado/outra).  "
940," fontao, a. l.;  bezerra, a. ; feitoza, l. . atividades experimentais de ensino em  centro de treinamento de informatica - desenvolvimento de apps para  windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
941," fontao, a. l.; bezerra, a. ; collins, e. . desenvolvimento de apps para windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
942," fontao, a. l.; bezerra, a. . desenvolvimento de apps para windows phone - c#. 2013. (curso de curta duracao ministrado/outra).  "
943," fontao, a. l.;  bezerra, a. ; segato, t. h. f. . atividades experimentais de ensino em  curso de graduacao - desenvolvimento de apps para nokia asha - java.  2013. (curso de curta duracao ministrado/outra).  "
944," steinmacher, i. ; fontao, awdren .  coordenacao do comite de programa - 5o washes - workshop sobre aspectos  sociais, humanos e economicos de software. 2020. (congresso).  "
945," fontao, awdren;  horita, f. . coordenacao do comite de programa - 6o washes workshop  sobre aspectos sociais, humanos e economicos de software. 2021.  (congresso).  "
946," fontao, awdren. proceedings chair - sbsi 2021 - simposio brasileiro de sistemas de informacao. 2021. (congresso).  "
947," fontao, awdren. proceedings chair - sbqs 2021 - simposio brasileiro de qualidade de software. 2021. (congresso).  "
948,"mendes, f. f.2007mendes, f. f. ; oliveira, j. l. ; fernandes, p. g. ; souza, a. s. . analise de riscos na implantacao de melhorias de processos de software. proquality (ufla), v. 3, p. 25-32, 2007.  "
949," mendes, f. f.2007mendes, f. f. ; oliveira, j. l. ; fernandes, p. g. ; souza, a. s. . analise de riscos na implantacao de melhorias de processos de software. proquality (ufla), v. 3, p. 25-32, 2007.  "
950," fernandes, p. g.2007fernandes, p. g.; oliveira, j. l. ; mendes, f. f. ; souza, a. s. . resultados de implementacao cooperada do mps.br. proquality (ufla), v. 3, p. 11-18, 2007.  "
951," souza, a. s.2006souza, a. s. ; mendes, f. f. ; oliveira, j. l. ; vasconcelos, l. m. r. ; fernandes, p. g. ; silva, v. r. . diagnosticos concorrentes de processos de software no modelo cooperado do mps.br. proquality (ufla), v. 2, p. 37-44, 2006.  "
952," hoshino, e. a. ; fernandes, p. g. .  alice. in: edson takashi matsubara; ricardo ribeiro dos santos. (org.).  interciencias: despertando talentos em computacao. 1ed.campo grande:  ufms, 2014, v. , p. 25-41.  "
953,"   matsubara, p.;  steinmacher, i. ; gadelha, b. ; conte, t. . buying time in software  development: how estimates become commitments?. in: international  conference on cooperative and human aspects of software engineering,  2021, madrid. proceedings of the 2021 ieee/acm 13th international  conference on cooperative and human aspects of software engineering  (chase), 2021. p. 61-70.  "
954," marques, leonardo ; matsubara, patricia  ; de souza filho, jose cezar ; gomes, genildo ; gadelha, bruno ; conte,  tayana . challenges and learning from remote teaching of usability and  ux: an experience report. in: sbqs'20: 19th brazilian symposium on  software quality, 2020, sao luis brazil. 19th brazilian symposium on  software quality. new york: acm. p. 1.  "
955," marques, leonardo ; matsubara, p. g. f.  ; nakamura, walter ; wiese, igor ; zaina, luciana ; conte, tayana .  ux-tips: a ux evaluation technique to support the identification of  software application problems. in: brazilian symposium on software  engineering, 2019, salvador. sbes 2019: proceedings of the xxxiii  brazilian symposium on software engineering, 2019. p. 224.  "
956,"   matsubara, patricia gomes fernandes;  silva, caroline lima correa da . game elements in a software  engineering study group: a case study. in: 2017 ieee/acm 39th  international conference on software engineering: software engineering  education and training track (icseseet), 2017, buenos aires. 2017  ieee/acm 39th international conference on software engineering: software  engineering education and training track (icse-seet), 2017. p. 160-169.   "
957," silva junior, g. c. ; amaral, j. p. ; matsubara, p. g. f.  ; graciano neto, v. v. . influences of organizational culture in the  adoption of agile methodologies in information systems development - a  systematic mapping. in: xi simposio brasileiro de sistemas de  informacao, 2015, goiania. proceedings of xi sbsi. nova york: acm, 2015.  v. 1. p. 227-234.  "
958," benites, m. ; paiva, d. m. b. ; fernandes, p. g.  ; oliveira, l. m. ; camargo, d. t. ; machado, m. i. c. . implantacao de  resultados esperados do processo gerencia de projetos com o apoio do  scrum no setor publico. in: workshop de gerencia de projetos de software  do simposio brasileiro de qualidade de software, 2012, fortaleza. anais  do xi sbqs, 2012.  "
959," mendes, f. f. ; fernandes, p. g.  ; caroline da cunha mota ; rosangela da silva nunes ; martins, m. d. s.  . institucionalizacao de processos em um setor de producao de software  de uma universidade federal. in: x simposio brasileiro de qualidade de  software, 2011, curitiba. x simposio brasileiro de qualidade de  software, 2011. p. 369-376.  "
960," mendes, f. f. ; hugo alexandre dantas do nascimento ; fernandes, p. g.  ; rosangela da silva nunes ; caroline da cunha mota . implantacao de  melhoria de processos em um setor de producao de software de uma  universidade federal. in: ix simposio brasileiro de qualidade de  software, 2010, belem. anais do ix simposio brasileiro de qualidade de  software, 2010.  "
961,"   fernandes, p. g.; oliveira, j. l.  . perfil cultural e institucionalizacao de processos de software:  estudo de caso em duas organizacoes de software. in: vi workshop olhar  sociotecnico sobre a engenharia de software (paralelo ao simposio  brasileiro de qualidade de software), 2010, belem. anais do ix simposio  brasileiro de qualidade de software, 2010.  "
962," mendes, f. f. ; fernandes, p. g. ; oliveira, j. l.  ; caroline da cunha mota ; martins, m. d. s. ; rosangela da silva nunes  . analise de ferramentas para apoio a gerencia de projetos e gerencia  de requisitos de software. in: workshop anual do mps, 2010, campinas.  anais do vi wamps, 2010. v. 6. p. 148-157.  "
963," fernandes, p. g.; oliveira, j. l.  . cultura organizacional como apoio a institucionalizacao de processos  de software. in: vii workshop de teses e dissertacoes em qualidade de  software, 2009, ouro preto. anais do simposio brasileiro de qualidade de  software, 2009. p. 58-63.  "
964," fernandes, p. g.; oliveira, j. l. ; mendes, f. f.  . avaliacao cultural em projetos de melhoria de processos de software.  in: v experimental software engineering latin american workshop, 2008,  salvador. anais do eselaw 2008, 2008.  "
965," mendes, f. f. ; oliveira, j. l. ; fernandes, p. g. ; souza, a. s.  . melhorias na estrategia de implementacao de melhoria de processos de  software. in: viii simposio internacional de melhoria de processos de  software, 2007, sao paulo. oitavo simposio internacional de melhoria de  processo de software, 2007.  "
966," fernandes, p. g.; oliveira, j. l. ; mendes, f. f. ; souza, a. s.  . analise de resultados da implementacao de melhoria de processos de  software em um grupo cooperado de empresas. in: viii simposio  internacional de melhoria de processos de software, 2007, sao paulo.  oitavo simposio internacional de melhoria de processo de software, 2007.   "
967," fernandes, p. g..  cultura organizacional como apoio a institucionalizacao de processos de  software. in: vi congresso de pesquisa, ensino e extensao - vi conpeex,  2009, goiania. vi seminario de pos-graduacao da ufg - mestrado, 2009.  "
968," fernandes, p. g.; oliveira, j. l.  . uma ferramenta de apoio a melhoria de processos de software: foco nos  processos gerenciais. in: iv congresso de pesquisa, ensino e extensao -  iv conpeex, 2007, goiania. anais eletronicos do xv seminario de  iniciacao cientifica, 2007.  "
969," oliveira, j. l. ; mendes, f. f. ; fernandes, p. g.  . diagnostico de processos de software para certificacao mps.br. in:  eti - encontro de tecnologia e informatica, 2006, goiania. anais do  encontro de tecnologia e informatica, 2006.  "
970,"   fernandes, p. g.; oliveira, j. l.  . perfil cultural e institucionalizacao de processos de software:  estudo de caso em duas organizacoes de software. 2010. (apresentacao de  trabalho/simposio).  "
971," fernandes, p. g.; oliveira, j. l.  . cultura organizacional como apoio a institucionalizacao de processos  de software. 2009. (apresentacao de trabalho/conferencia ou palestra).  "
972," fernandes, p. g.; oliveira, j. l.  . cultura organizacional como apoio a institucionalizacao de processos  de software. 2009. (apresentacao de trabalho/seminario).  "
973," fernandes, p. g.; oliveira, j. l. ; mendes, f. f. . avaliacao cultural em projetos de melhoria de processos de software. 2008. (apresentacao de trabalho/outra).  "
974," fernandes, p. g.; oliveira, j. l.  . uma ferramenta de apoio a melhoria de processos de software: foco nos  processos gerenciais. 2007. (apresentacao de trabalho/congresso).  "
975," fernandes, p. g.; mendes, f. f. ; oliveira, j. l. . diagnostico de processos de software para certificacao mps.br. 2006. (apresentacao de trabalho/outra).  "
976," ferraz, s.; duenha, l. d.; fernandes, p. g..   participacao em banca de bruno cezar scopel sarcinelli.uma avaliacao  das ferramentas de desenvolvimento guiado por testes do framework ruby  on rails. 							2014. trabalho de conclusao de curso (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul.  "
977," matsubara, e. t.; fernandes, p. g..   participacao em banca de carlos cesar lanzoni.identificacao de nomes  de logradouros utilizando metodologias de busca por similaridade. 							2010. trabalho de conclusao de curso (graduacao em bacharelado em  analise de sistemas)  - universidade federal de mato grosso do sul.  "
978," machado, m. i. c.; eleuterio, j. d. a. s.; fernandes, p. g..   participacao em banca de pablo bender santos e vivian sayuri  kataoka.avaliacao de tecnicas para o desenvolvimento de repositorios de  reuso de modelagem de negocios baseada em visoes. 							2010. trabalho de conclusao de curso (graduacao em bacharelado em  analise de sistemas)  - universidade federal de mato grosso do sul.  "
979," vieira, c. c. a.; silva, m. a. i.; matsubara, p. g. f..  banca examinadora de concurso para professor substituto para o curso de  computacao (edital no 14, de 1o de dezembro de 2016, da ufms). 							2016. universidade federal de mato grosso do sul.  "
980," machado, m. i. c.; pistori, j.; fernandes, p. g.. banca examinadora de concurso publico para selecao de docente da fundacao universidade federal de mato grosso do sul. 							2011. universidade federal de mato grosso do sul.  "
981, ix simposio brasileiro de qualidade de software. 							2010. (simposio).  					 
982," vi workshop ""um olhar sociotecnico sobre a  engenharia de software"".perfil cultural e institucionalizacao de  processos de software: estudo de caso em duas organizacoes de software.  2010. (outra).  					 "
983, ix jornada goiana de engenharia de software. 2009. (outra).  					 
984, simposito brasileiro de qualidade de software.cultura organizacional como apoio a institucionalizacao de processos de software. 							2009. (simposio).  					 
985, vi seminario de pos-graduacao do vi  conpeex.cultura organizacional como apoio a institucionalizacao de  processos de software. 2009. (seminario).  
986, eri-co - escola regional de informatica do centro-oeste. 							2008. (encontro).  					 
987, v experimental software engineering latin  american workshop.avaliacao cultural em projetos de melhoria de  processos de software. 2008. (outra).  					 
988, viii jornada goiana de engenharia de software. 2008. (outra).  					 
989, eti - encontro de tecnologia e informatica. 							2007. (encontro).  					 
990, iii seminario em gerenciamento de projetos - pmi-go. 2007. (seminario).  
991," iv congresso de pesquisa, ensino e  extensao - iv conpeex. camadas de negocio e aplicacao de uma ferramenta  de apoio a diagnosticos de processos de software. 2007. (congresso).  "
992, simpros - viii simpoosio de melhoria de  processos de software.analise de resultados da implementacao de melhoria  de processos de software em um grupo cooperado de empresas. 							2007. (simposio).  					 
993, vii jges - jornada goiana de engenharia de software. 2007. (outra).  					 
994, eti - encontro de tecnologia e informatica.diagnostico de processos de software para certificacao mps.br. 							2006. (encontro).  					 
995," iii congresso de pesquisa, ensino e extensao - iii conpeex. 2006. (congresso).  "
996, vi jornada goiana de engenharia de software - vi jges. 2006. (outra).  					 
997, eti - encontro de tecnologia e informatica. 							2005. (encontro).  					 
998," ii congresso de pesquisa, ensino e extensao - ii conpeex. 2005. (congresso).  "
999, eti - encontro de tecnologia e informatica. 							2004. (encontro).  					 
1000," i congresso de pesquisa, ensino e extensao - i conpeex. 2004. (congresso).  "
1001, ii java gyn. 2004. (outra).  					 
1002," machado, m. i. c. ; vasconcellos, f. j. ; matsubara, p. g. f.  ; paiva, d. m. b. ; eleuterio, j. d. a. s. ; landre, g. b. ;  vasconcellos, j. f. ; silva, m. a. i. . v workshop de engenharia de  software. 2014. (outro).  "
1003," costa, h. ; fernandes, p. g. . workshop ""um olhar sociotecnico sobre a engenharia de software"". 2012. (outro).  "
1004, joao victor roman. 							motivation and engagement of computing students: profile and  relationship with academic performance. 							2017. 							trabalho de conclusao de curso. (graduacao em engenharia de  computacao)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1005, karolina martins milano. 							estudo sobre mulheres na computacao: um mapeamento sistematico. 							2017. 							trabalho de conclusao de curso. (graduacao em sistema de  informacao)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1006, sandro rogerio de oliveira brandao. 							analise e prototipagem de um aplicativo movel para indicacoes de  estabelecimentos amigaveis para criancas. 							2016. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1007, beatriz tiosse terradas e ricardo massao  kondo. 							jogos serios em engenharia de software: uma avaliacao baseada em  elementos de design de jogos. 							2015. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1008, caroline lima correa da silva. 							gamificacao em estudos de engenharia de software: um projeto  piloto. 							2015. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1009, larissa mendes ribeiro. 							um mapeamento sistematico de ferramentas de teste. 							2015. 							trabalho de conclusao de curso. (graduacao em ciencia da  computacao)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1010, edeilson silva cruz e joilson lemos de  brito. 							um prototipo funcional para o apoio a revisoes sistematicas de  literatura. 							2012. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1011, thalita vanessa alencar faria. 							dificuldades do teste de software utilizando metodologias ageis e  tradicionais de desenvolvimento. 							2011. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1012, elizangela da silva ferreira. 							modelagem e desenvolvimento de uma aplicacao web de auxilio a  docencia. 							2011. 							trabalho de conclusao de curso. (graduacao em analise de  sistemas)  - universidade federal de mato grosso do sul. orientador:  patricia gomes fernandes matsubara. 						 
1013," rinaldo riverte junior. 							gamificacao em foco: uma proposta de redesign de atividades de disciplinas de engenharia de software. 							2017. 							iniciacao cientifica. (graduando em sistema de informacao)  - universidade federal de mato grosso do sul, 							conselho nacional de desenvolvimento cientifico e tecnologico. orientador: patricia gomes fernandes matsubara. 						 "
1014," hoshino, e. a. ; fernandes, p. g. .  alice. in: edson takashi matsubara; ricardo ribeiro dos santos. (org.).  interciencias: despertando talentos em computacao. 1ed.campo grande:  ufms, 2014, v. , p. 25-41.  "
1015," machado, m. i. c. ; vasconcellos, f. j. ; matsubara, p. g. f.  ; paiva, d. m. b. ; eleuterio, j. d. a. s. ; landre, g. b. ;  vasconcellos, j. f. ; silva, m. a. i. . v workshop de engenharia de  software. 2014. (outro).  "
1016,"fernandes, p. g.2007fernandes, p. g.; oliveira, j. l. ; mendes, f. f. ; souza, a. s. . resultados de implementacao cooperada do mps.br. proquality (ufla), v. 3, p. 11-18, 2007.  "
1017," mendes, f. f.2007mendes, f. f. ; oliveira, j. l. ; fernandes, p. g. ; souza, a. s. . analise de riscos na implantacao de melhorias de processos de software. proquality (ufla), v. 3, p. 25-32, 2007.  "
1018," fernandes, p. g.2007fernandes, p. g.; oliveira, j. l. ; mendes, f. f. ; souza, a. s. . resultados de implementacao cooperada do mps.br. proquality (ufla), v. 3, p. 11-18, 2007.  "
1019," souza, a. s.2006souza, a. s. ; mendes, f. f. ; oliveira, j. l. ; vasconcelos, l. m. r. ; fernandes, p. g. ; silva, v. r. . diagnosticos concorrentes de processos de software no modelo cooperado do mps.br. proquality (ufla), v. 2, p. 37-44, 2006.  "
1020," hoshino, e. a. ; fernandes, p. g. .  alice. in: edson takashi matsubara; ricardo ribeiro dos santos. (org.).  interciencias: despertando talentos em computacao. 1ed.campo grande:  ufms, 2014, v. , p. 25-41.  "
1021,"   matsubara, p.;  steinmacher, i. ; gadelha, b. ; conte, t. . buying time in software  development: how estimates become commitments?. in: international  conference on cooperative and human aspects of software engineering,  2021, madrid. proceedings of the 2021 ieee/acm 13th international  conference on cooperative and human aspects of software engineering  (chase), 2021. p. 61-70.  "
1022," marques, leonardo ; matsubara, patricia  ; de souza filho, jose cezar ; gomes, genildo ; gadelha, bruno ; conte,  tayana . challenges and learning from remote teaching of usability and  ux: an experience report. in: sbqs'20: 19th brazilian symposium on  software quality, 2020, sao luis brazil. 19th brazilian symposium on  software quality. new york: acm. p. 1.  "
