,producoes
102," silva, l. e. p.; silva, l. r. ; golin, a. l. m. m. ; barros, b. r. g. s. ; machado, m. o. ; neves, a. p.  ; neco, b. m. p. ; loio, g. x. ; souza, s. c. s. b. ; jimenez, l. f. s.  ; ribeiro, v. s. . ii hackathon ala voti. 2018. (concurso).  "
103," silva, l. e. p.. hackathon ala voti. 2017. (concurso).  "
104," araujo, a. f. ; silva, l. e. p. . ii encontro de desenvolvimento tecnologico e cientifico do pantanal. 2015. (outro).  "
105," silva, l. e. p.; araujo, a. f. ; costa, e. a. ; salomon, r. . startup pantanal. 2015. (outro).  "
106," silva, l. e. p.; araujo, a. f. . i encontro de desenvolvimento tecnologico e cientifico do pantanal. 2014. (outro).  "
107," silva, l. e. p.. iii semana tecinca de computacao - setec. 2009. (outro).  "
108," silva, l. e. p.. 12o congresso dce/uems. 2007. (congresso).  "
109, bruno marcos pimenta neco. 							linha de produtos de software: dominio jogos educacionais. 							2018. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
110, jaqueline cabrera vargas. 							alfabrinque: desenvolvimento de jogo digital movel enquanto  ferramenta de auxilio para a alfabetizacao. 							2016. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
111, raphael alex de sousa. 							bravo : sistema web de apoio a pesquisa em educacao. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
112, luiz henrique quevedo lima. 							ufms mobile: ferramenta para auxilio academico na universidade  federal de mato grosso do sul. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
113, douglas cortez alves. 							redes sociais inclusivas: um estudo de caso. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
114, renan rocha fucci. 							classificadores de imagens de satelites do pantanal. 							2015. 							trabalho de conclusao de curso. (graduacao em sistemas de  informacao)  - universidade federal de mato grosso do sul. orientador:  luciano edipo pereira da silva. 						 
