,conferencias,qualis_conferencias,periodicos,qualis_periodicos
483,NA,,NA,
484,NA,,NA,
485,NA,,NA,
486,international symposium on computer architecture,,computer,
487,NA,,NA,
488,NA,,NA,
489,congresso brasileiro de agroinformatica,,NA,
490,NA,,NA,
491,NA,,NA,
492,NA,,NA,
493,NA,,NA,
494,NA,,NA,
495,NA,,NA,
496,NA,,NA,
497,NA,,NA,
498,NA,,NA,
499,NA,,NA,
500,NA,,NA,
501,NA,,NA,
502,NA,,NA,
503,NA,,NA,
504,NA,,NA,
505,NA,,NA,
506,NA,,NA,
507,NA,,NA,
508,NA,,NA,
509,NA,,NA,
510,NA,,NA,
511,NA,,NA,
512,NA,,NA,
513,NA,,NA,
514,NA,,NA,
515,NA,,NA,
516,NA,,NA,
517,NA,,NA,
518,NA,,NA,
519,NA,,NA,
520,NA,,NA,
521,NA,,NA,
522,NA,,NA,
523,NA,,NA,
524,NA,,NA,
525,NA,,NA,
526,NA,,NA,
527,NA,,NA,
528,NA,,NA,
529,NA,,NA,
530,NA,,letronica,
531,NA,,NA,
532,NA,,NA,
533,NA,,NA,
534,NA,,NA,
535,NA,,NA,
536,NA,,NA,
537,NA,,NA,
538,NA,,NA,
539,NA,,NA,
540,NA,,NA,
541,NA,,NA,
542,NA,,NA,
543,NA,,NA,
544,NA,,NA,
545,NA,,NA,
546,NA,,NA,
547,NA,,NA,
548,NA,,NA,
549,NA,,NA,
550,NA,,NA,
551,NA,,NA,
552,NA,,NA,
553,NA,,NA,
554,NA,,NA,
555,NA,,NA,
556,NA,,NA,
557,NA,,NA,
558,NA,,NA,
559,NA,,NA,
560,NA,,NA,
561,NA,,NA,
562,NA,,NA,
563,NA,,NA,
564,NA,,NA,
565,NA,,NA,
566,NA,,NA,
567,NA,,NA,
568,NA,,NA,
569,NA,,international journal of agricultural and environmental information systems,
570,NA,,international journal of agricultural and environmental information systems,
571,NA,,international journal of agricultural and environmental information systems,
572,NA,,revista brasileira de biometria,
573,NA,,revista eletronica de iniciacao cientifica,
574,NA,,journal of parallel and distributed computing,
575,NA,,computer,
576,NA,,design automation for embedded systems,
577,NA,,"ieee transactions on circuits and systems. i, regular papers (print)",
578,NA,,computer,
579,NA,,computer,
580,NA,,international journal of high performance systems architecture,
581,NA,,NA,
582,NA,,NA,
583,NA,,NA,
584,NA,,NA,
585,simposio em sistemas computacionais de alto desempenho,,NA,
586,simposio em sistemas computacionais de alto desempenho,,NA,
587,international symposium on computer architecture,,computer,
588,simposio em sistemas computacionais de alto desempenho,,NA,
589,NA,,NA,
590,international symposium on computer architecture,,computer,
591,workshop on applications for multi-core architectures,,computer,
592,ieee international system-on-chip conference,,NA,
593,simposio em sistemas computacionais de alto desempenho,,NA,
594,NA,,NA,
595,ieee frontiers in education conference,,computer,
596,ieee frontiers in education conference,,computer,
597,simposio em sistemas computacionais de alto desempenho,,NA,
598,NA,,NA,
599,NA,,NA,
600,NA,,NA,
601,NA,,NA,
602,NA,,computer,
603,simposio brasileiro de pesquisa operacional,,NA,
604,international conference on industry applications,,NA,
605,brazilian symposium on programming languages,,NA,
606,NA,,NA,
607,NA,,NA,
608,NA,,NA,
609,brazilian symposium on programming languages,,NA,
610,simposio brasileiro de pesquisa operacional,,NA,
611,NA,,NA,
612,NA,,NA,
613,simposio brasileiro de pesquisa operacional,,NA,
614,NA,,NA,
615,international workshop,,NA,
616,NA,,NA,
617,international conference on parallel and distributed processing techniques and applications,,NA,
618,NA,,NA,
619,NA,,NA,
620,NA,,performance evaluation,
621,NA,,NA,
622,simposio brasileiro de pesquisa operacional,,NA,
623,NA,,NA,
624,NA,,NA,
625,NA,,NA,
626,NA,,NA,
627,NA,,NA,
628,NA,,NA,
629,NA,,NA,
630,NA,,NA,
631,NA,,NA,
632,NA,,NA,
633,NA,,NA,
634,NA,,letronica,
635,NA,,statistical methodology,
636,NA,,NA,
637,NA,,NA,
638,NA,,NA,
639,NA,,NA,
640,NA,,NA,
641,NA,,NA,
642,NA,,NA,
643,NA,,NA,
644,NA,,NA,
645,NA,,NA,
646,NA,,NA,
647,NA,,NA,
648,NA,,NA,
649,NA,,NA,
650,NA,,NA,
651,NA,,NA,
652,NA,,NA,
653,NA,,NA,
654,NA,,NA,
655,NA,,NA,
656,"ieee international conference on electronics, circuits and systems",,NA,
